x,z,r00,r02,v_l,v_r
1170,-5100,1,0,0,0
1170,-5100,1,0,0.0819668,0.0224998
1170,-5100,1,-0.00059467,0.163966,0.0449666
1170,-5099.96,0.999988,-0.00499587,0.245865,0.0673639
1170,-5099.89,0.999913,-0.0132065,0.327661,0.0896916
1170,-5099.79,0.999691,-0.0248661,0.409222,0.111914
1169.99,-5099.65,0.999196,-0.0400867,0.490816,0.134103
1169.98,-5099.48,0.998217,-0.0596838,0.572116,0.156171
1169.97,-5099.28,0.996546,-0.0830454,0.653448,0.178207
1169.95,-5099.05,0.994008,-0.109304,0.734288,0.200069
1169.91,-5098.78,0.990142,-0.140066,0.814962,0.221846
1169.87,-5098.49,0.984859,-0.173358,0.895667,0.24359
1169.81,-5098.16,0.977446,-0.211185,0.976203,0.265249
1169.72,-5097.81,0.967964,-0.251089,1.05682,0.286887
1169.61,-5097.43,0.955367,-0.295421,1.13746,0.308494
1169.48,-5097.03,0.939981,-0.341227,1.21825,0.330101
1169.31,-5096.6,0.920332,-0.391138,1.30022,0.351981
1169.11,-5096.15,0.897145,-0.441737,1.38222,0.373827
1168.86,-5095.68,0.868404,-0.495858,1.46512,0.395869
1168.57,-5095.22,0.835391,-0.549656,1.55056,0.418544
1168.23,-5094.73,0.795471,-0.605991,1.63603,0.441182
1167.83,-5094.23,0.749103,-0.662453,1.06069,1.13145
1167.38,-5093.76,0.707025,-0.707188,1.11353,1.19751
1166.88,-5093.26,0.710314,-0.703885,1.17306,1.25687
1166.38,-5092.75,0.713968,-0.700178,1.22266,1.33635
1165.83,-5092.19,0.717921,-0.696124,1.2843,1.4036
1165.26,-5091.6,0.723006,-0.690842,1.34884,1.46795
1164.66,-5090.97,0.728259,-0.685302,1.40722,1.53728
1164.06,-5090.33,0.733374,-0.679826,1.46835,1.60289
1163.42,-5089.63,0.739037,-0.673665,1.52551,1.67205
1162.78,-5088.92,0.744695,-0.667405,1.58875,1.73514
1162.1,-5088.15,0.75092,-0.660393,1.64939,1.79988
1161.4,-5087.35,0.757102,-0.653297,1.70661,1.86688
1160.68,-5086.5,0.763422,-0.6459,1.76877,1.92894
1159.96,-5085.65,0.769801,-0.638283,1.82926,1.99103
1159.21,-5084.73,0.776314,-0.630346,1.8848,2.05766
1158.44,-5083.78,0.782867,-0.622189,1.94592,2.11871
1157.68,-5082.81,0.78949,-0.613764,2.00656,2.17792
1156.88,-5081.78,0.79622,-0.605007,2.06105,2.24289
1156.08,-5080.7,0.80287,-0.596154,2.12079,2.3026
1155.26,-5079.59,0.809753,-0.586771,2.17972,2.36156
1154.46,-5078.47,0.816316,-0.577606,2.2345,2.42361
1153.62,-5077.28,0.823024,-0.568007,2.29292,2.48202
1152.81,-5076.08,0.829627,-0.558318,2.34989,2.54102
1151.96,-5074.8,0.836334,-0.54822,2.40528,2.59994
1151.11,-5073.49,0.842996,-0.537919,2.46242,2.65709
1150.28,-5072.17,0.849427,-0.527706,2.51843,2.71454
1149.42,-5070.77,0.855943,-0.51707,2.57184,2.7736
1148.56,-5069.33,0.862394,-0.506238,2.62807,2.82985
1147.7,-5067.84,0.868859,-0.49506,2.67041,2.90576
1146.87,-5066.37,0.875146,-0.483858,2.72554,2.96781
1146.01,-5064.79,0.882368,-0.470561,2.78411,3.02642
1145.17,-5063.18,0.889558,-0.456823,2.84411,3.08136
1144.35,-5061.56,0.896297,-0.443454,2.898,3.14137
1143.52,-5059.85,0.902953,-0.429738,2.95493,3.19835
1142.7,-5058.1,0.909537,-0.415622,3.01405,3.25101
1141.92,-5056.35,0.91568,-0.401908,3.06696,3.30889
1141.12,-5054.51,0.921689,-0.38793,3.12232,3.36431
1140.35,-5052.62,0.927585,-0.373612,3.17889,3.41711
1139.61,-5050.74,0.933075,-0.359682,3.23293,3.47089
1138.86,-5048.77,0.938449,-0.345418,3.28681,3.52484
1138.13,-5046.74,0.943601,-0.331086,3.46041,3.44414
1137.44,-5044.74,0.947574,-0.319535,3.51523,3.48221
1136.74,-5042.65,0.947188,-0.32068,3.56168,3.52865
1136.01,-5040.52,0.946508,-0.322681,3.61703,3.56619
1135.3,-5038.44,0.945799,-0.324754,3.66375,3.61222
1134.55,-5036.26,0.944735,-0.327836,3.71013,3.65859
1133.78,-5034.06,0.943648,-0.33095,3.75703,3.70412
1133,-5031.83,0.942547,-0.334074,3.80352,3.74992
1132.22,-5029.65,0.941444,-0.33717,3.84967,3.79606
1131.4,-5027.37,0.940281,-0.340398,3.89634,3.84137
1130.56,-5025.07,0.939103,-0.343635,3.94261,3.88694
1129.73,-5022.82,0.937924,-0.346841,3.98853,3.93285
1128.86,-5020.46,0.936682,-0.35018,4.03498,3.97794
1127.97,-5018.09,0.935424,-0.353528,4.07776,4.02642
1127.08,-5015.76,0.934188,-0.356781,4.12341,4.07205
1126.15,-5013.34,0.933011,-0.359849,4.16949,4.11693
1125.21,-5010.89,0.931818,-0.362925,4.21521,4.16204
1124.27,-5008.49,0.930629,-0.365965,4.25763,4.21004
1123.28,-5006,0.929399,-0.369078,4.30285,4.25524
1122.28,-5003.48,0.92827,-0.371907,4.34825,4.30011
1121.28,-5001.01,0.927166,-0.37465,4.39376,4.34458
1120.24,-4998.44,0.926004,-0.377515,4.43876,4.38956
1119.18,-4995.85,0.924811,-0.380428,4.48394,4.43421
1118.1,-4993.24,0.923606,-0.383343,4.52922,4.47846
1117.04,-4990.68,0.922416,-0.386198,4.574,4.52322
1115.92,-4988.02,0.921156,-0.389194,4.61526,4.57126
1114.78,-4985.34,0.919913,-0.392123,4.66021,4.61532
1113.66,-4982.72,0.918836,-0.394639,4.70472,4.65982
1112.48,-4979.99,0.917698,-0.397278,4.74938,4.70402
1111.29,-4977.24,0.916551,-0.399918,4.79411,4.74787
1110.11,-4974.55,0.915419,-0.402502,4.8384,4.79214
1108.88,-4971.75,0.914224,-0.405209,4.88284,4.83613
1107.66,-4969.02,0.913057,-0.407833,4.92735,4.87976
1106.39,-4966.18,0.91183,-0.410569,4.97143,4.92382
1105.09,-4963.32,0.910575,-0.413344,5.01162,4.97155
1103.82,-4960.53,0.909376,-0.415975,5.0558,5.015
1102.49,-4957.62,0.908303,-0.418312,5.09962,5.05881
1101.13,-4954.69,0.907208,-0.420682,5.14355,5.10237
1099.76,-4951.74,0.906105,-0.423054,5.18741,5.14586
1098.41,-4948.86,0.90502,-0.425369,5.23109,5.18952
1097,-4945.87,0.903886,-0.427774,5.44994,5.07233
1095.57,-4942.85,0.901294,-0.433209,5.50611,5.11831
1094.12,-4939.92,0.890868,-0.454261,5.55727,5.16931
1092.54,-4936.91,0.87932,-0.476231,5.61206,5.21635
1090.87,-4933.91,0.867187,-0.497982,5.66283,5.26649
